year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2019,3,6,3,30.705377329918203,1025.3501133819977,1635.0,0,0,0,0,0,0,0,0,773.9313326179971
2019,3,0,4,31.073318504580808,1031.7496026834744,1634.0,0,1,0,0,0,0,0,0,776.0063907700093
2019,3,1,5,31.16100112399672,1029.2591557011933,1631.0,0,1,0,0,0,0,0,0,776.0063907700093
2019,3,2,6,31.03863873448635,1028.288485061065,1600.0,0,0,0,0,0,0,0,0,775.8860249940192
2019,3,3,7,31.116407853530372,1030.8126582001044,1533.0,0,0,0,0,0,0,0,0,776.908828952167
2019,3,4,8,30.990777914861532,1036.828909227516,1532.0,0,0,0,0,0,0,0,0,778.3158401842999
2019,3,5,9,31.217831576966013,1037.5732067179497,1694.0,0,0,0,0,0,0,0,0,778.5007117394747
2019,3,6,10,31.386657615883788,1038.314815413602,1686.0,0,0,0,0,0,0,0,0,779.4138442519152
2019,3,0,11,31.297482317373852,1037.643628546624,1699.0,0,0,0,0,0,0,0,0,778.0806205465693
2019,3,1,12,31.056798222423907,1035.9756016899769,1567.0,0,0,0,0,0,0,0,0,777.2391981863411
2019,3,2,13,30.93618214230898,1034.2817159756914,1573.0,0,0,0,0,0,0,0,0,776.6810806224499
2019,3,3,14,31.150596915224032,1034.6885665570312,1602.0,0,0,0,0,0,0,0,0,777.1872894395059
2019,3,4,15,30.879562069984697,1031.6607796662613,1585.0,0,0,0,0,0,0,0,0,777.3257123487376
2019,3,5,16,30.980059612795834,1032.5770239809217,1596.0,0,0,0,0,0,0,0,0,777.0990700172285
2019,3,6,17,30.97611095963377,1032.5770239809217,1601.0,0,0,0,0,0,0,0,0,776.7815730984612
2019,3,0,18,31.00268793084821,1033.6282983928531,1623.0,0,0,0,0,0,0,0,0,776.9403951737777
2019,3,1,19,31.00494248435757,1032.6765664645818,1607.0,0,0,0,0,0,0,0,0,777.1829392449197
