ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-08-13,2017,8,6,13,C,951.9397297297298,951.9397297297298,31.0,951.9397297297298,1526.0,0,0,0,0,0,0,0,0,0.0
2017-08-13,2017,8,6,13,D,3180.7434027777776,3180.7434027777776,39.0,3180.7434027777776,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-14,2017,8,0,14,A,190.89048888888877,190.3158222222221,20.0,190.3158222222221,13987.0,0,0,0,0,0,0,0,0,6.0
2017-08-14,2017,8,0,14,B,521.3019288645693,521.3634883720932,24.0,521.3634883720932,2156.0,0,0,0,0,0,0,0,0,1.0
2017-08-14,2017,8,0,14,C,952.1615789473686,952.1615789473686,31.0,952.1615789473686,1531.0,0,0,0,0,0,0,0,0,0.0
2017-08-14,2017,8,0,14,D,3180.7434027777776,3180.7434027777776,39.0,3180.7434027777776,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-15,2017,8,1,15,A,191.5686580086579,191.00891774891764,20.0,191.00891774891764,14480.0,0,0,0,0,0,0,0,0,13.0
2017-08-15,2017,8,1,15,B,518.31756684492,517.9198395721927,24.0,517.9198395721927,2157.0,0,0,0,0,0,0,0,0,2.0
2017-08-15,2017,8,1,15,C,952.1615789473686,952.1615789473686,31.0,952.1615789473686,1530.0,0,0,0,0,0,0,0,0,1.0
2017-08-15,2017,8,1,15,D,3125.513266666667,3125.513266666667,39.0,3125.513266666667,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-16,2017,8,2,16,A,189.68378600823036,189.21650205761307,20.0,189.21650205761307,14927.0,0,0,0,0,0,0,0,0,11.0
2017-08-16,2017,8,2,16,B,516.5354716981134,516.5354716981134,24.0,516.5354716981134,2342.0,0,0,0,0,0,0,0,0,3.0
2017-08-16,2017,8,2,16,C,943.3745238095242,943.3745238095242,31.0,943.3745238095242,1510.0,0,0,0,0,0,0,0,0,0.0
2017-08-16,2017,8,2,16,D,2886.559086021505,2886.559086021505,39.0,2886.559086021505,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-17,2017,8,3,17,A,189.7401646090534,189.68666666666655,20.0,189.68666666666655,14913.0,0,0,0,0,0,0,0,0,8.0
2017-08-17,2017,8,3,17,B,514.5624074074077,514.5624074074077,24.0,514.5624074074077,2343.0,0,0,0,0,0,0,0,0,3.0
